 


  
  

NCAA Baseball
Division IBatting Average
Through Games 06/30/2010


"Rank","Name","G","W-L","AB","H","BA"
"1","Utah Valley","59","42-17","2257","840","0.372"
"2","Pittsburgh","56","38-18","2120","773","0.365"
"3","Georgia St.","58","34-23-1","2108","749","0.355"
"4","South Dakota St.","60","39-21","2199","769","0.350"
"5","New Mexico St.","60","36-23-1","2224","776","0.349"
"6","Auburn","64","43-21","2344","816","0.348"
"7","Southeast Mo. St.","55","30-25","1972","683","0.346"
"8","New Mexico","60","38-22","2201","762","0.346"
"9","Campbell","55","28-27","2018","696","0.345"
"10","Northern Colo.","58","34-24","2148","740","0.345"
"11","UCF","55","33-22","1994","683","0.343"
"12","Central Conn. St.","56","33-23","1989","679","0.341"
"13","Bethune-Cookman","57","35-22","1971","671","0.340"
"14","Mercer","62","38-24","2267","770","0.340"
"15","Wright St.","56","31-25","2027","685","0.338"
"16","FIU","61","36-25","2187","738","0.337"
"17","Cal St. Fullerton","64","46-18","2266","763","0.337"
"18","Morehead St.","50","24-25-1","1779","599","0.337"
"19","Arizona St.","62","52-10","2181","734","0.337"
"20","Louisiana Tech","57","27-30","2073","697","0.336"
"21","TCU","68","54-14","2427","811","0.334"
"22","FGCU","58","38-20","2107","703","0.334"
"23","High Point","60","31-29","2137","713","0.334"
"24","Delaware","51","27-24","1876","624","0.333"
"25","BYU","58","27-31","2185","726","0.332"
"26","Binghamton","51","31-20","1783","592","0.332"
"27","DBU","55","28-27","1998","663","0.332"
"28","Tennessee Tech","56","31-25","1989","660","0.332"
"29","ETSU","60","32-28","2188","724","0.331"
"30","Virginia","65","51-14","2295","759","0.331"
"31","Canisius","60","39-21","2059","680","0.330"
"32","St. John's (NY)","63","43-20","2278","750","0.329"
"33","Toledo","56","34-22","2068","679","0.328"
"34","Bowling Green","55","31-23-1","1977","649","0.328"
"35","Indiana","55","28-27","2052","672","0.327"
"36","Charlotte","56","39-17","1975","646","0.327"
"37","NC State","62","38-24","2289","747","0.326"
"38","Longwood","48","28-20","1644","536","0.326"
"39","Rice","63","40-23","2221","724","0.326"
"40","Georgia Tech","62","47-15","2198","716","0.326"
"41","VMI","55","33-22","1932","629","0.326"
"42","Santa Clara","54","23-31","1953","635","0.325"
"43","Michigan St.","53","34-19","1904","619","0.325"
"44","Pacific","54","31-23","1935","629","0.325"
"45","George Mason","50","28-22","1839","597","0.325"
"46","SFA","54","34-20","1929","626","0.325"
"47","Penn","41","21-20","1425","462","0.324"
"48","Coastal Carolina","66","55-10","2258","732","0.324"
"49","Southern Miss.","60","36-24","2131","690","0.324"
"50","Ohio St.","51","28-23","1820","589","0.324"
"51","Kansas St.","59","37-22","2026","655","0.323"
"52","Oral Roberts","63","36-27","2190","708","0.323"
"53","North Florida","58","30-28","2117","684","0.323"
"54","Yale","44","21-22-1","1420","458","0.323"
"55","UConn","64","48-16","2327","750","0.322"
"56","Fresno St.","63","38-25","2211","712","0.322"
