 


  
  

NCAA Baseball
Division IBatting Average
Through Games 06/27/2017


"Rank","Name","G","W-L","AB","H","BA"
"1","Air Force","53","27-26","1969","678","0.344"
"2","Morehead St.","59","36-23","2198","729","0.332"
"3","St. John's (NY)","55","42-13","1984","641","0.323"
"4","New Mexico St.","57","35-22","2018","650","0.322"
"5","Virginia","59","43-16","2061","662","0.321"
"6","UNC Greensboro","60","36-24","2076","665","0.320"
"7","BYU","59","38-21","2185","696","0.319"
"8","New Mexico","58","30-27-1","2086","664","0.318"
"9","Jackson St.","56","38-17-1","1823","579","0.318"
"10","Fresno St.","60","35-25","2206","700","0.317"
"11","Tennessee Tech","62","41-21","2280","723","0.317"
"12","Kentucky","66","43-23","2235","706","0.316"
"13","San Diego St.","63","42-21","2228","700","0.314"
"14","Furman","61","33-28","2167","676","0.312"
"15","CSU Bakersfield","56","32-24","1935","600","0.310"
"16","Delaware","57","34-23","1979","613","0.310"
"17","ETSU","59","30-29","2118","655","0.309"
"18","Arizona","59","38-21","2055","633","0.308"
"19","Wake Forest","63","43-20","2250","693","0.308"
"20","Western Mich.","53","24-29","1922","591","0.307"
"21","Southern Miss.","66","50-16","2332","716","0.307"
"22","Middle Tenn.","55","24-31","1980","606","0.306"
"23","McNeese","57","37-20","1958","598","0.305"
"24","Louisiana Tech","56","36-20","1945","594","0.305"
"25","Texas Tech","62","45-17","2162","659","0.305"
"26","South Alabama","61","40-21","2115","644","0.304"
"27","Western Caro.","56","28-28","1943","591","0.304"
"28","Murray St.","59","29-30","2112","638","0.302"
"29","Charlotte","58","34-24","2030","611","0.301"
"30","Sam Houston","67","44-23","2247","676","0.301"
"31","Southeast Mo. St.","55","29-26","1934","581","0.300"
"32","FDU","46","12-34","1546","463","0.299"
"33","DBU","63","42-21","2157","645","0.299"
"34","UNLV","56","20-36","1981","592","0.299"
"35","Navy","54","37-17","1800","534","0.297"
"36","Minnesota","57","36-21","1996","592","0.297"
"37","North Florida","57","33-24","1988","589","0.296"
"38","Eastern Ky.","56","24-32","2009","595","0.296"
"39","UTSA","57","29-28","2014","595","0.295"
"40","Baylor","57","34-23","1913","565","0.295"
"41","Mercer","56","39-17","1927","569","0.295"
"42","Cornell","38","21-17","1265","373","0.295"
"43","UT Martin","55","25-30","1930","569","0.295"
"44","Wofford","58","28-30","1975","581","0.294"
"45","N.C. Central","50","22-28","1643","482","0.293"
"46","SIUE","52","23-29","1807","530","0.293"
"47","Kent St.","55","37-18","1917","562","0.293"
"48","Oral Roberts","59","43-16","2073","607","0.293"
"49","LMU (CA)","56","38-18","1905","557","0.292"
"50","Rice","64","33-31","2196","641","0.292"
"51","UMBC","48","23-25","1601","467","0.292"
"52","East Carolina","60","32-28","2067","601","0.291"
"53","Oregon St.","62","56-6","2054","597","0.291"
"54","Columbia","41","18-23","1366","397","0.291"
"55","Houston","63","42-21","2122","616","0.290"
"56","Fairfield","55","31-24","1874","544","0.290"
"57","N.C. A&T","53","28-25","1778","516","0.290"
"58","New Orleans","59","30-28-1","2068","600","0.290"
"59","VCU","57","35-22","1996","579","0.290"
"60","Michigan St.","52","29-23","1805","523","0.290"
"61","Samford","59","33-26","1996","578","0.290"
"62","Yale","52","34-18","1758","509","0.290"
"63","LSU","72","52-20","2425","702","0.289"
"64","Fla. Atlantic","57","35-21-1","1943","562","0.289"
"65","Old Dominion","58","37-21","2002","579","0.289"
"66","George Washington","58","31-27","1979","572","0.289"
"67","Bethune-Cookman","61","36-25","2006","578","0.288"
"68","Louisville","65","53-12","2200","633","0.288"
"69","Dartmouth","40","22-17-1","1315","378","0.287"
"70","California","54","25-29","1844","530","0.287"
"71","Austin Peay","58","28-30","2051","589","0.287"
"72","Lamar University","58","33-25","1982","569","0.287"
"73","Utah","51","27-24","1791","514","0.287"
"74","West Virginia","62","36-26","2136","613","0.287"
"75","Georgia Tech","55","27-28","1963","562","0.286"
"76","Florida A&M","53","27-26","1807","517","0.286"
"77","South Fla.","61","42-19","2098","600","0.286"
"78","Arkansas","64","45-19","2194","627","0.286"
"79","UIC","56","39-17","1873","535","0.286"
"80","Kennesaw St.","57","25-32","1972","563","0.285"
"81","Alabama St.","56","31-25","1966","561","0.285"
"82","Saint Mary's (CA)","57","37-20","1988","567","0.285"
"83","San Diego","54","35-18-1","1874","534","0.285"
"84","Binghamton","43","30-13","1418","404","0.285"
"85","Texas St.","59","29-30","2078","591","0.284"
"86","North Carolina","63","49-14","2145","610","0.284"
"87","Iowa","61","39-22","2089","594","0.284"
"88","Saint Louis","57","35-22","1945","553","0.284"
"89","Northern Ky.","58","25-33","2038","579","0.284"
"90","Mississippi St.","67","40-27","2282","648","0.284"
"91","Coastal Carolina","57","37-19-1","1910","542","0.284"
"92","James Madison","51","24-27","1706","484","0.284"
"93","USC Upstate","55","24-31","1958","554","0.283"
