 


  
  

NCAA Baseball
Division IBatting Average
Through Games 06/24/2015


"Rank","Name","G","W-L","AB","H","BA"
"1","Morehead St.","60","38-22","2219","736","0.332"
"2","Oral Roberts","57","41-16","1970","631","0.320"
"3","Nevada","56","41-15","1972","625","0.317"
"4","LSU","66","54-12","2429","762","0.314"
"5","North Florida","61","45-16","2155","672","0.312"
"6","New Mexico","59","32-27","2045","635","0.311"
"7","Miami (FL)","67","50-17","2356","724","0.307"
"8","Saint Louis","56","35-21","1982","609","0.307"
"9","Jackson St.","57","32-25","1954","594","0.304"
"10","Samford","58","32-26","2094","636","0.304"
"11","Austin Peay","51","25-26","1801","547","0.304"
"12","Southeast Mo. St.","59","36-23","2097","635","0.303"
"13","UNCW","59","41-18","2072","627","0.303"
"14","Alabama St.","50","31-19","1679","507","0.302"
"15","Wofford","61","39-22","2045","617","0.302"
"16","Saint Mary's (CA)","55","28-27","1890","570","0.302"
"17","San Diego","55","33-22","1908","573","0.300"
"18","Col. of Charleston","60","45-15","2118","636","0.300"
"19","Harvard","42","18-24","1389","417","0.300"
"20","Fla. Atlantic","61","42-19","2109","632","0.300"
"21","Texas A&M","64","50-14","2188","655","0.299"
"22","UNC Greensboro","50","23-27","1741","520","0.299"
"23","Southeastern La.","59","42-17","2006","599","0.299"
"24","Winthrop","59","40-19","2013","601","0.299"
"25","Alabama A&M","57","26-31","1908","569","0.298"
"26","Arizona","55","31-24","1889","563","0.298"
"27","Milwaukee","59","39-20","2104","627","0.298"
"28","Florida","70","52-18","2417","720","0.298"
"29","Delaware","50","26-24","1753","522","0.298"
"30","BYU","53","28-25","1881","559","0.297"
"31","Bryant","54","29-25","1834","544","0.297"
"32","Campbell","57","32-25","1897","562","0.296"
"33","Michigan","64","39-25","2182","646","0.296"
"34","Jacksonville","56","26-30","1940","574","0.296"
"35","Jacksonville St.","57","30-27","2008","594","0.296"
"36","Penn","37","22-15","1190","351","0.295"
"37","Rice","59","37-22","2058","607","0.295"
"38","Southern California","60","39-21","2083","613","0.294"
"39","Arizona St.","58","35-23","2034","598","0.294"
"40","Wake Forest","53","27-26","1851","544","0.294"
"41","UMBC","54","34-20","1800","529","0.294"
"42","UCF","58","31-27","1981","582","0.294"
"43","Stony Brook","52","35-16-1","1714","503","0.293"
"44","Wright St.","60","43-17","2076","609","0.293"
"45","Davidson","50","28-22","1782","522","0.293"
"46","Illinois","61","50-10-1","2124","622","0.293"
"47","Columbia","51","34-17","1735","508","0.293"
"48","Belmont","58","29-29","2017","590","0.293"
"49","UIC","52","29-22-1","1795","525","0.292"
"50","FGCU","57","30-26-1","1928","561","0.291"
"51","Furman","58","25-33","2083","606","0.291"
"52","San Diego St.","64","41-23","2186","635","0.290"
"53","Texas Southern","50","31-19","1711","497","0.290"
"54","ETSU","56","21-35","1915","556","0.290"
"55","Presbyterian","55","27-28","1953","567","0.290"
"56","Missouri St.","61","49-12","2072","601","0.290"
"57","Vanderbilt","72","51-21","2505","726","0.290"
"58","Michigan St.","57","34-23","1944","563","0.290"
"59","UC Santa Barbara","58","40-17-1","1971","570","0.289"
"60","Lamar University","52","21-31","1781","515","0.289"
"61","Radford","61","45-16","2038","589","0.289"
"62","La Salle","52","24-27-1","1885","544","0.289"
"63","UConn","60","35-25","2087","602","0.288"
"64","DBU","61","46-15","2124","612","0.288"
"65","Arkansas","65","40-25","2164","623","0.288"
"66","South Dakota St.","56","33-23","1956","563","0.288"
"67","St. John's (NY)","57","41-16","1884","542","0.288"
"68","Clemson","61","32-29","2125","611","0.288"
"69","Kentucky","55","30-25","1899","546","0.288"
"70","Butler","53","23-30","1814","521","0.287"
"71","Old Dominion","56","27-29","1906","547","0.287"
"72","Houston Christian","55","28-27","1869","536","0.287"
"73","Canisius","64","34-30","2141","614","0.287"
"74","Mercer","58","35-23","1964","563","0.287"
"75","UTSA","58","33-25","1996","572","0.287"
"76","NJIT","48","24-23-1","1534","439","0.286"
"77","Norfolk St.","43","27-16","1377","394","0.286"
"78","Richmond","53","28-25","1846","528","0.286"
"79","TCU","66","51-15","2256","644","0.285"
"80","Eastern Ill.","49","13-36","1675","478","0.285"
"81","South Alabama","57","37-20","2002","570","0.285"
"82","Towson","54","17-35-2","1890","538","0.285"
"83","Sam Houston","59","31-28","2059","585","0.284"
"84","UCLA","61","45-16","2112","600","0.284"
"85","Navy","57","37-20","1905","541","0.284"
"86","Saint Joseph's","49","21-28","1729","491","0.284"
"87","UC Davis","57","30-26-1","1952","554","0.284"
"88","Central Mich.","57","35-22","2009","570","0.284"
"89","Delaware St.","45","16-29","1465","415","0.283"
"90","High Point","55","29-26","1894","536","0.283"
"91","VCU","65","40-25","2200","622","0.283"
"92","George Mason","51","23-27-1","1776","502","0.283"
