,Team,G,AB,H,BA,HPG,ABPG,HPAB,BB,BBPG,IP,ER,ERA,RA,PO,A,E,PCT,APG,EPG,RPG,RS,TB,SLG,KP9,WP9,WHIP,OBP,OPS,PYTHAG,wOBA,wRAA,oWAR_z,pWAR_z,fWAR,ISO,wRC+,BB%,BABIP,RA9,FIP,LOB%,K/BB,Conference,Rating,ELO_Rank,expected_wins,Wins,Losses,avg_expected_wins,total_expected_wins,rem_avg_expected_wins,rem_total_expected_wins,RPI,KPI_Score,Norm_RPI,wins_above_expected,SOR,RemSOS,SOS,bubble_expected_wins,bubble_total_expected_wins,wins_above_bubble,Prelim_WAB,KPI,Prelim_AVG,final_bubble_expected_wins,final_bubble_total_expected_wins,WAB,AVG,Resume,resume_quality,RQI,Norm_Rating,Norm_RQI,Norm_SOS,NET_Score,NET,combined_rank,Norm_Resume,aRQI,Q1,Q2,Q3,Q4,Rating Rank,PRR,win_percentage,completed_games,wpoe_pct,WPOE,Remaining_Wins,Games_Remaining,Remaining_Losses,Remaining_RQ,Projected_Wins,Projected_Losses,Projected_Record,Projected_RQ,Projected_Norm_RQI,Projected_NET_Score,Projected_NET,pNET_Score,pRating,pResume_Quality,pPYTHAG,poWAR_z,pOPS,pBA,pRPG,ppWAR_z,pKP9,pWHIP,pERA,pwOBA,pwRAA,pfWAR,pISO,pwRC+,pBB%,pBABIP,pRA9,pFIP,pLOB%,pK/BB
0,Virginia,69,2305,645,0.28,9.347826086956522,33.405797101449274,0.279826464208243,294,4.260869565217392,626.0,155,2.23,186,1878,793,51,0.981,11.492753623188406,0.7391304347826086,5.478260869565218,378,870,0.377,8.1,2.88,1.03,0.375,0.752,0.785,0.3268053545586107,107.5626763063826,0.9567143472453804,2.53304500276764,3.48975935001302,0.0976138828633405,130.36798086402302,0.1063675832127351,0.2625482625482625,2.6741214057507987,-0.2754304599943596,0.7549315875645656,2.81,ACC,4.49,8,49.351500000000016,53,16,0.3618623188405798,24.968500000000006,10.0,0,1,0.8540605547556452,100.0,28.03,2,1,32,0.6119057971014488,42.22149999999996,11.09,1,3,2.0,0.6074550724637683,41.914400000000015,1,2.0,2,0.0358086956521739,7,0.9865005192107997,1.0,0.8402629460505054,0.9747080184419609,1,8,0.9734042568156516,3,12-8,13-5,11-2,17-1,3,3,0.7681159420289855,69.0,0.052876811594202655,38.0,0.0,,0.0,,53.0,16.0,53-16,,,0.47365635731253786,4,99,98,99,98,85,76,73,68,98,95,98,98,81,85,97,61,81,91,69,98,97,98,96
1,Texas,67,2182,573,0.263,8.552238805970148,32.56716417910448,0.2626031164069661,288,4.298507462686567,601.0,150,2.25,187,1803,758,67,0.975,11.313432835820896,1.0,4.462686567164179,299,771,0.353,5.8,3.29,1.18,0.356,0.709,0.702,0.3079877347642775,-17.525749011606557,-0.1558824687279607,1.5887174016560597,1.432834932928099,0.0907424381301558,94.7580259704922,0.1103871215024913,0.25,2.8003327787021632,0.3851044309464074,0.7772664089545387,1.75,Big 12,4.37,5,43.8622,46,21,0.2967208955223882,19.88030000000001,10.0,0,3,0.8616572955326107,99.33557046979865,26.12,4,1,2,0.5508641791044775,36.90789999999999,9.41,5,2,3.7,0.5460641791044776,36.586299999999994,5,3.7,3,0.013249232100367728,12,0.9740394600207685,0.9744147759386498,0.9695460816961342,0.9736474886504995,2,5,0.9736041528645695,2,20-16,10-4,8-1,8-0,7,7,0.6865671641791045,67.0,0.03190746268656708,71.0,0.0,,0.0,,46.0,21.0,46-21,,,0.48541534502957007,1,99,97,98,91,46,44,39,29,93,26,93,98,46,46,80,50,46,94,40,98,44,99,47
2,Vanderbilt,72,2360,655,0.278,9.09722222222222,32.77777777777778,0.2775423728813559,269,3.736111111111111,639.2,206,2.9,252,1919,766,69,0.975,10.63888888888889,0.9583333333333334,5.597222222222222,403,894,0.379,8.9,3.45,1.14,0.366,0.745,0.702,0.3161670160726764,37.54216314614005,0.3339181149252209,2.7164925363258314,3.0504106512510525,0.1012711864406779,110.23627676081249,0.093990216631726,0.2645215211032177,3.548185231539424,-0.2694310300208998,0.6924806951906022,2.6,SEC,4.22,3,47.22190000000001,51,21,0.31312638888888894,22.545100000000005,10.0,0,2,0.8755381299335656,99.66778523489933,28.45,1,1,6,0.5656958333333336,40.73010000000002,10.61,2,1,1.3,0.5609805555555556,40.390600000000006,2,1.3,1,0.020620169082125633,10,0.9584631360332296,0.9827743308450548,0.936986866434983,0.9734895530999792,3,3,0.9751508545482038,1,20-16,11-3,9-1,11-1,10,10,0.7083333333333334,72.0,0.05247361111111093,39.0,0.0,,0.0,,51.0,21.0,51-21,,,0.4810688410027273,2,98,96,98,91,66,71,70,73,99,98,95,90,62,66,96,67,62,64,74,90,97,84,94
3,TCU,66,2260,628,0.278,9.515151515151516,34.24242424242424,0.2778761061946903,262,3.9696969696969697,613.1,151,2.22,179,1840,756,60,0.977,11.454545454545457,0.9090909090909092,5.045454545454546,333,795,0.352,8.4,2.22,1.03,0.368,0.72,0.757,0.3118262150220913,7.0370229455824935,0.0625906777808046,2.6313657439873253,2.6939564217681298,0.0738938053097345,102.02186222259996,0.0964653902798232,0.2684739833843463,2.6276300766595986,-0.5881889113090509,0.7604821351979403,3.8,Big 12,4.19,9,44.33420000000002,48,18,0.34135606060606055,22.529499999999995,10.0,0,7,0.8356594577441647,98.00671140939598,25.47,6,1,19,0.5884303030303031,38.836400000000005,9.46,4,7,5.7,0.5839227272727271,38.53889999999999,4,5.7,6,0.01814163372859022,11,0.9553478712357217,0.9799633649628849,0.8809607575178408,0.9626701800757989,4,9,0.963479726025724,4,16-11,11-2,8-2,13-3,11,11,0.7272727272727273,66.0,0.05554242424242406,32.0,0.0,,0.0,,48.0,18.0,48-18,,,0.47165790763982784,5,98,95,98,96,54,52,70,52,99,97,98,99,54,54,94,24,54,73,81,99,98,98,99
4,Ole Miss,69,2425,720,0.297,10.434782608695652,35.14492753623188,0.2969072164948453,226,3.27536231884058,631.1,191,2.72,232,1894,734,74,0.973,10.63768115942029,1.072463768115942,5.884057971014493,406,997,0.411,7.2,2.71,1.21,0.367,0.778,0.736,0.3289138840070298,125.26193516177662,1.1141400962508512,2.4770523482928724,3.5911924445437235,0.1142268041237113,134.35810498017167,0.0794376098418277,0.2753858651502843,3.3085089526224056,-0.1369346663864191,0.7316875863110403,2.65,SEC,4.57,4,47.59960000000001,48,21,0.31965797101449267,22.056399999999993,10.0,0,4,0.8516602119562473,99.00335570469798,25.94,5,1,9,0.5738405797101453,39.59500000000003,8.73,6,4,5.0,0.5691492753623189,39.271300000000004,6,5.0,5,0.0,16,0.9948078920041538,0.9593885067567479,0.9240239409275021,0.9576126668538425,5,4,0.9535004119949778,5,18-16,4-1,13-2,13-2,2,2,0.6956521739130435,69.0,0.005802898550724467,108.0,0.0,,0.0,,48.0,21.0,48-21,,,0.476909460696044,3,98,99,96,94,88,87,93,85,98,78,91,94,84,88,98,80,84,24,90,94,93,95,95
5,Oregon St.,59,1947,533,0.274,9.033898305084746,33.0,0.2737544940934771,293,4.966101694915254,530.0,135,2.29,166,1590,692,50,0.979,11.728813559322036,0.847457627118644,5.6440677966101696,333,727,0.373,6.4,2.92,1.07,0.38,0.753,0.781,0.3284873949579832,102.3270468181554,0.9101461321334742,0.858115062413667,1.7682611945471411,0.0996404725218284,133.55102863549462,0.123109243697479,0.2591093117408907,2.818867924528302,0.107389975131756,0.750732608579401,2.2,Pac-12,4.33,1,42.59489999999998,45,14,0.3743355932203391,22.085800000000006,10.0,0,13,0.8363991091176841,96.01342281879195,22.91,9,1,39,0.6306050847457625,37.205699999999986,8.06,7,5,7.0,0.6261067796610174,36.94030000000002,7,7.0,7,0.011682928027511696,13,0.9698857736240915,0.972638393244079,0.8155078218692806,0.9488070553098538,6,1,0.9464766216365008,6,14-7,8-3,12-3,11-1,9,9,0.7627118644067796,59.0,0.04076440677966131,56.0,0.0,,0.0,,45.0,14.0,45-14,,,0.4614649727142969,7,97,96,97,98,83,77,60,75,81,48,97,97,83,83,84,63,83,98,61,98,75,97,80
6,Louisiana,68,2314,734,0.317,10.794117647058824,34.029411764705884,0.317199654278306,278,4.088235294117647,609.1,237,3.5,265,1828,773,56,0.979,11.367647058823527,0.8235294117647058,7.794117647058823,530,1141,0.493,7.0,3.13,1.24,0.409,0.902,0.78,0.3716550279329609,422.9460761433443,3.7618864930889018,1.9892981193575068,5.7511846124464086,0.175885911840968,215.2402900777076,0.0970670391061452,0.2818451121455776,3.915613199802988,0.0599477056660003,0.683429700318485,2.23,Sun Belt,4.19,2,52.64780000000002,58,10,0.45007500000000006,30.605100000000004,10.0,0,6,0.8155659552374107,98.33892617449665,27.39,3,1,104,0.703001470588235,47.804099999999984,10.47,3,8,4.7,0.6989617647058821,47.52939999999998,3,4.7,4,0.032311018755328186,8,0.9553478712357217,0.9960332014591348,0.6651913642047784,0.9423824574929918,7,2,0.9409490220486589,7,10-3,7-2,17-1,24-4,12,12,0.8529411764705882,68.0,0.07870882352941144,13.0,0.0,,0.0,,58.0,10.0,58-10,,,0.4433183690792193,14,97,95,99,98,99,99,99,98,97,71,88,72,98,99,99,99,98,74,95,82,81,79,82
7,LSU,63,2098,602,0.287,9.555555555555555,33.301587301587304,0.2869399428026692,223,3.5396825396825395,561.2,162,2.6,180,1685,615,57,0.976,9.761904761904765,0.9047619047619048,6.253968253968254,394,870,0.415,7.1,2.85,1.09,0.367,0.782,0.807,0.3341697117336581,139.83500058185786,1.2437599723036183,1.4249112406263171,2.668671212929936,0.1277407054337464,144.30409125893402,0.0905399918798213,0.2633802816901408,2.8866714183891657,-0.058477860104578,0.74875799815559,2.49,SEC,4.49,6,44.551100000000005,46,16,0.38970161290322597,24.16150000000001,10.0,0,11,0.7913996029788237,96.67785234899328,21.84,12,1,50,0.6208951612903227,38.49550000000001,7.76,8,9,9.7,0.6167225806451614,38.23680000000001,8,9.7,8,0.002228143992519832,15,0.9865005192107997,0.9619154978422698,0.7850116014030433,0.9378412315550047,8,6,0.9324615265708589,9,15-13,7-1,4-1,20-1,5,5,0.7419354838709677,62.0,0.02336935483870961,85.0,0.0,,0.0,,46.0,16.0,46-16,,,0.45587187372750293,11,97,98,97,99,89,89,84,89,91,74,97,95,89,89,94,91,89,55,71,97,88,96,89
8,Oklahoma St.,66,2209,608,0.275,9.212121212121213,33.46969696969697,0.2752376641014033,324,4.909090909090909,597.0,218,3.29,275,1791,740,72,0.972,11.212121212121213,1.0909090909090908,6.0606060606060606,400,885,0.401,7.2,3.65,1.35,0.385,0.786,0.665,0.3377022058823529,177.72645798443824,1.5807848788969356,1.7236117386727132,3.304396617569649,0.1253961068356722,150.9888876716325,0.1191176470588235,0.2483221476510067,4.1457286432160805,0.1714930962754118,0.6904237214385391,1.98,Big 12,4.62,10,48.0329,48,18,0.3748757575757579,24.741800000000023,10.0,0,19,0.7557477505429724,94.02013422818791,23.26,8,1,40,0.6169439393939393,40.71829999999999,7.57,9,13,10.0,0.6125621212121211,40.42909999999999,9,10.0,10,-0.009664426877470364,18,1.0,0.9484278504221331,0.8144357829411253,0.9334736366117553,9,10,0.9261185707193065,11,13-8,19-6,2-2,14-2,1,1,0.7272727272727273,66.0,-0.0004984848484848037,128.0,0.0,,0.0,,48.0,18.0,48-18,,,0.4582622865212676,10,96,99,96,86,94,90,63,87,96,78,67,80,91,94,97,90,91,97,34,78,68,83,65
9,Florida,63,2077,554,0.267,8.793650793650794,32.96825396825397,0.2667308618199326,229,3.634920634920635,574.2,209,3.27,240,1724,719,62,0.975,11.412698412698411,0.984126984126984,4.587301587301587,289,726,0.35,6.8,2.73,1.26,0.351,0.701,0.584,0.3052625152625152,-32.74227063834311,-0.2912255547813581,1.599962652036528,1.30873709725517,0.0828117477130476,89.60089427193657,0.0932030932030932,0.2501184272856466,3.761755485893417,-0.050187696082705,0.7009619018957205,2.5,SEC,3.54,18,36.45170000000002,40,23,0.28137619047619045,17.726699999999997,10.0,0,8,0.7818420382631962,97.6744966442953,22.27,10,1,1,0.5415444444444446,34.11730000000001,6.2,13,10,11.0,0.5365777777777779,33.80440000000001,13,11.0,12,-0.030100069013112532,22,0.8878504672897198,0.9252513027317464,1.0,0.9327344271130535,10,18,0.9376967379439146,8,22-13,4-3,6-5,8-2,28,28,0.6349206349206349,63.0,0.05632222222222194,29.0,0.0,,0.0,,40.0,23.0,40-23,,,0.4691357226916933,6,96,90,95,69,41,38,45,36,93,64,83,82,42,41,76,41,42,62,41,87,87,86,90
