,Team,G,AB,H,BA,HPG,ABPG,HPAB,BB,BBPG,IP,ER,ERA,RA,PO,A,E,PCT,APG,EPG,RPG,RS,TB,SLG,KP9,WP9,WHIP,OBP,OPS,PYTHAG,wOBA,wRAA,oWAR_z,pWAR_z,fWAR,ISO,wRC+,BB%,BABIP,RA9,FIP,LOB%,K/BB,Conference,Rating,ELO_Rank,expected_wins,Wins,Losses,avg_expected_wins,total_expected_wins,rem_avg_expected_wins,rem_total_expected_wins,RPI,KPI_Score,Norm_RPI,wins_above_expected,SOR,RemSOS,SOS,bubble_expected_wins,bubble_total_expected_wins,wins_above_bubble,Prelim_WAB,KPI,Prelim_AVG,final_bubble_expected_wins,final_bubble_total_expected_wins,WAB,AVG,Resume,resume_quality,RQI,Norm_Rating,Norm_RQI,Norm_SOS,NET_Score,NET,combined_rank,Norm_Resume,aRQI,Q1,Q2,Q3,Q4,Rating Rank,PRR,win_percentage,completed_games,wpoe_pct,WPOE,Remaining_Wins,Games_Remaining,Remaining_Losses,Remaining_RQ,Projected_Wins,Projected_Losses,Projected_Record,Projected_RQ,Projected_Norm_RQI,Projected_NET_Score,Projected_NET,pNET_Score,pRating,pResume_Quality,pPYTHAG,poWAR_z,pOPS,pBA,pRPG,ppWAR_z,pKP9,pWHIP,pERA,pwOBA,pwRAA,pfWAR,pISO,pwRC+,pBB%,pBABIP,pRA9,pFIP,pLOB%,pK/BB
0,Oregon St.,62,2054,597,0.291,9.629032258064516,33.12903225806452,0.2906523855890944,302,4.870967741935484,564.0,121,1.93,141,1692,594,51,0.978,9.580645161290322,0.8225806451612904,6.016129032258065,373,833,0.406,8.1,2.59,0.98,0.385,0.791,0.856,0.3385364875701684,60.86547929040734,0.4996212396348198,1.847172575422441,2.3467938150572607,0.1148977604673807,117.16538870415263,0.1210906174819567,0.2706838833094213,2.25,0.2839981788103557,0.8527865816176937,3.12,Pac-12,4.78,1,47.78690000000002,56,6,0.4089693548387098,25.356100000000005,10.0,0,1,1.0136931064958021,100.0,30.64,1,1,70,0.6473451612903226,40.135400000000004,16.32,1,1,1.0,0.6399725806451612,39.67829999999999,1,1.0,1,0.17012404692082095,2,1.0,1.0,0.7558462503641382,0.9635098498299575,1,1,0.9595002705128857,1,13-3,10-1,17-1,16-1,1,1,0.9032258064516129,62.0,0.13246935483870936,3.0,0.0,,0.0,,56.0,6.0,56-6,,,0.4604264334474132,3,99,99,99,99,73,70,82,66,96,71,99,99,72,73,89,37,72,92,87,99,97,99,98
1,Florida,71,2338,605,0.259,8.52112676056338,32.929577464788736,0.2587681779298545,313,4.408450704225352,644.1,247,3.45,281,1932,773,53,0.981,10.887323943661972,0.7464788732394366,5.352112676056338,380,884,0.378,9.1,3.06,1.3,0.355,0.733,0.635,0.3145281018027571,-87.63092642801628,-0.7193284699758178,2.9403499788722183,2.2210215088964005,0.1193327630453379,78.21269561862209,0.1106398020501944,0.2324210526315789,3.926408942710759,0.3122993091706326,0.7468463380773489,2.96,SEC,4.66,6,49.16670000000001,52,19,0.3109732394366197,22.0791,10.0,0,2,0.9055536871066897,99.66778523489933,29.92,2,1,2,0.5581408450704226,39.62800000000001,12.95,2,4,2.7,0.5499323943661969,39.04519999999998,2,2.7,2,0.08620825864276561,7,0.9880834160873881,0.9223501035408298,0.9628645291890908,0.9349129862763108,2,6,0.9290705544105278,2,23-12,9-2,9-3,11-2,3,3,0.7323943661971831,71.0,0.03990563380281675,58.0,0.0,,0.0,,52.0,19.0,52-19,,,0.47089394242909993,1,99,98,98,83,25,32,26,39,99,92,87,93,32,25,88,43,32,82,18,95,95,96,94
2,LSU,72,2425,702,0.289,9.75,33.68055555555556,0.2894845360824742,292,4.055555555555555,639.2,255,3.59,281,1919,654,53,0.98,9.083333333333334,0.7361111111111112,6.694444444444445,482,1053,0.434,8.8,3.84,1.27,0.384,0.8180000000000001,0.729,0.3467950903511762,127.45373133778412,1.0462185131778494,2.510924571966081,3.55714308514393,0.1447422680412371,130.5646577162564,0.0995567678145243,0.2571080422420796,3.956508135168961,0.6223656093587479,0.7368472522230397,2.29,SEC,4.59,4,48.7714,52,20,0.31572916666666667,22.7325,10.0,0,3,0.9215797772213361,99.33557046979865,29.27,3,1,6,0.5507027777777779,39.650600000000004,12.92,3,3,3.0,0.5427416666666667,39.077400000000004,3,3.0,3,0.08406338383838378,8,0.981132075471698,0.920365383979759,0.9528175608440573,0.931231609524955,3,4,0.9257484853502366,3,21-13,9-5,9-1,13-1,4,4,0.7222222222222222,72.0,0.04484166666666667,50.0,0.0,,0.0,,52.0,20.0,52-20,,,0.4682110452605571,2,98,98,98,96,85,82,78,85,98,88,89,91,82,85,97,75,82,57,66,94,84,95,72
3,North Carolina,63,2145,610,0.284,9.682539682539682,34.04761904761905,0.2843822843822843,321,5.095238095238095,571.2,188,2.96,221,1715,584,49,0.979,9.26984126984127,0.7777777777777778,7.126984126984127,449,937,0.437,8.6,3.65,1.21,0.387,0.8240000000000001,0.785,0.3477794619173929,120.67024497773409,0.9905354904896788,1.5322611789161074,2.5227966694057864,0.1524475524475524,132.16176315568208,0.1216369837059492,0.2532110091743119,3.4821428571428568,0.684242096138564,0.7729028570157139,2.34,ACC,4.42,3,44.9882,49,14,0.3536190476190475,22.27799999999999,10.0,0,5,0.9567752174758063,98.67114093959732,26.72,5,1,26,0.6040825396825396,38.057199999999995,11.44,5,2,4.0,0.596131746031746,37.5563,5,4.0,4,0.0863963203463204,6,0.9642502482621649,0.9225241229012936,0.8727746131470006,0.9192197772840094,4,3,0.9142717749845796,4,15-4,11-2,11-5,12-3,6,6,0.7777777777777778,63.0,0.06367936507936511,33.0,0.0,,0.0,,49.0,14.0,49-14,,,0.4551131880846343,4,98,97,98,98,85,84,70,90,92,85,96,98,83,85,90,80,83,93,61,97,80,98,77
4,Louisville,65,2200,633,0.288,9.738461538461538,33.84615384615385,0.2877272727272727,285,4.384615384615385,585.0,190,2.92,221,1755,582,60,0.975,8.953846153846154,0.9230769230769232,7.138461538461539,464,1011,0.46,9.4,3.12,1.15,0.384,0.8440000000000001,0.795,0.350712430426716,141.46403459143144,1.161223687882031,2.1497023454784743,3.3109260333605053,0.1718181818181818,136.92039304775372,0.1057513914656771,0.2512315270935961,3.4,0.2772090773418154,0.7645644780531138,3.0,ACC,4.7,2,48.93610000000001,53,12,0.41556,27.0114,10.0,0,6,0.8298445461697245,98.33892617449665,25.99,6,1,74,0.6378215384615384,41.4584,12.0,4,7,5.7,0.6308123076923073,41.00279999999998,4,5.7,6,0.09267111888111872,5,0.9920556107249255,0.9283303897138604,0.741923412585946,0.9067797869296489,5,2,0.8974095778915939,6,15-10,7-1,10-1,21-0,2,2,0.8153846153846154,65.0,0.0625215384615383,35.0,0.0,,0.0,,53.0,12.0,53-12,,,0.4397521625381775,12,98,99,99,99,88,89,77,91,97,95,98,98,86,88,96,92,86,75,56,98,97,97,96
5,TCU,68,2290,614,0.268,9.029411764705882,33.6764705882353,0.268122270742358,354,5.205882352941177,610.1,264,3.89,302,1831,706,67,0.974,10.382352941176473,0.9852941176470588,6.632352941176471,451,920,0.402,9.5,3.07,1.22,0.373,0.775,0.676,0.328045165843331,0.5786686507376139,0.0047500677229491,2.475599390351865,2.480349458074814,0.1336244541484716,100.14361809257848,0.1249117854622441,0.239448751076658,4.455007375840026,0.3018515778411463,0.6867788000313975,3.09,Big 12,4.35,5,47.08989999999999,50,18,0.3384176470588236,23.012400000000003,10.0,0,4,0.8698149105063305,99.00335570469798,26.99,4,1,22,0.5853382352941177,39.803,10.74,6,6,5.3,0.5773088235294122,39.257000000000026,6,5.3,5,0.06239491978609622,9,0.9572989076464747,0.9003148782928646,0.9048878021932585,0.9066398990956478,6,5,0.901073425647584,5,20-12,12-2,8-3,10-1,9,9,0.7352941176470589,68.0,0.04279558823529428,54.0,0.0,,0.0,,50.0,18.0,50-18,,,0.45370641206015705,5,97,96,97,91,55,60,42,84,98,96,96,80,55,55,89,59,55,96,30,85,96,73,97
6,Texas Tech,62,2162,659,0.305,10.629032258064516,34.87096774193548,0.3048103607770582,262,4.225806451612903,553.0,229,3.73,262,1659,647,53,0.978,10.435483870967742,0.8548387096774194,7.129032258064516,442,1024,0.474,9.1,4.41,1.38,0.389,0.863,0.723,0.3636056559308719,209.36367854125007,1.7185856716612016,1.120689687490134,2.839275359151336,0.1688251618871415,157.8391612153177,0.1029065200314218,0.2742673992673993,4.264014466546112,0.8520343089494405,0.7396435423058922,2.06,Big 12,4.36,8,43.2954,45,17,0.3350370967741934,20.77229999999999,10.0,0,7,0.8819711331106724,98.00671140939598,24.23,8,1,20,0.5879919354838711,36.45550000000001,9.06,7,5,6.7,0.5797451612903226,35.9442,7,6.7,7,0.049727272727272676,11,0.958291956305859,0.8885931093303941,0.9120292658985679,0.8989961472980936,7,8,0.8924806515149574,8,16-9,8-7,12-1,9-0,8,8,0.7258064516129032,62.0,0.027493548387096833,74.0,0.0,,0.0,,45.0,17.0,45-17,,,0.4519596876782762,6,97,97,97,95,93,93,92,91,88,92,74,86,93,93,93,90,93,68,91,91,68,96,62
7,Stanford,58,1972,554,0.281,9.551724137931034,34.0,0.2809330628803245,198,3.413793103448276,518.1,193,3.35,223,1555,573,44,0.98,9.879310344827584,0.7586206896551724,5.637931034482759,327,809,0.41,7.2,2.83,1.24,0.357,0.7669999999999999,0.668,0.329496056091148,8.103359502950237,0.0665173521554532,0.9207135411999235,0.9872308933553768,0.1293103448275862,102.49763235540836,0.0867659947414548,0.2575,3.873769542559352,0.5819697413391474,0.7332238545033157,2.55,Pac-12,3.44,7,36.09740000000001,42,16,0.33034137931034485,19.1598,10.0,0,13,0.8165771997803171,96.01342281879195,22.84,10,1,15,0.5855086206896554,33.95950000000001,8.52,8,11,9.7,0.577260344827586,33.48109999999999,8,9.7,9,0.05055313479623817,10,0.8669314796425025,0.8893573052637295,0.9219490402000855,0.8920081063968175,8,7,0.8947635562445428,7,13-11,11-4,13-1,5-0,26,26,0.7241379310344828,58.0,0.10176896551724124,9.0,0.0,,0.0,,42.0,16.0,42-16,,,0.44458719238265043,8,97,91,97,89,57,55,65,50,84,41,94,95,57,57,71,53,57,22,69,96,86,93,87
8,Arkansas,64,2194,627,0.286,9.796875,34.28125,0.2857793983591613,258,4.03125,564.0,226,3.61,254,1692,569,54,0.977,8.890625,0.84375,6.59375,422,999,0.455,9.9,3.3,1.23,0.373,0.8280000000000001,0.717,0.3537451286048323,152.64335517683998,1.2529904179607865,1.8301923496344965,3.0831827675952828,0.1695533272561531,141.84083053562355,0.1005455962587685,0.2452660054102795,4.053191489361702,0.3005375847156999,0.7257913856540671,2.99,SEC,4.51,12,45.489500000000035,45,19,0.3527374999999999,22.575199999999995,10.0,0,12,0.8187400309626571,96.34563758389261,22.42,11,1,25,0.5943937499999997,38.04119999999998,7.46,10,9,10.0,0.5865484374999999,37.53909999999999,10,10.0,10,0.021641335227272712,13,0.9731876861966237,0.8626043152835885,0.8746368958512553,0.8753507021636957,9,12,0.8646002553776858,9,16-12,4-5,10-1,15-1,5,5,0.703125,64.0,-0.007648437500000549,153.0,0.0,,0.0,,45.0,19.0,45-19,,,0.44138877401809595,10,96,98,96,95,89,85,74,81,96,98,95,90,88,89,95,90,88,60,45,93,96,92,95
9,Florida St.,69,2317,627,0.271,9.08695652173913,33.57971014492754,0.2706085455330168,396,5.739130434782608,619.1,258,3.75,311,1858,678,78,0.97,9.826086956521738,1.1304347826086956,7.27536231884058,502,998,0.431,9.3,3.07,1.25,0.392,0.823,0.706,0.3523440193036883,163.19551391178945,1.339609018347127,2.5509912163153468,3.8906002346624735,0.1601208459214501,139.5675839660509,0.1365046535677352,0.233446519524618,4.521078985624293,0.3469936360946382,0.6894418699160305,3.03,ACC,4.37,9,46.806599999999975,46,23,0.3283101449275362,22.653399999999998,10.0,0,8,0.8179296833568579,97.6744966442953,23.35,9,1,12,0.5697768115942028,39.31459999999999,7.23,11,10,10.0,0.5618188405797101,38.765499999999996,11,10.0,10,0.009510606060605997,14,0.9592850049652433,0.8513793731946844,0.9262400536151962,0.873250669377037,10,9,0.8637971112420164,10,16-17,7-1,10-3,13-2,7,7,0.6666666666666666,69.0,-0.011689855072463451,160.0,0.0,,0.0,,46.0,23.0,46-23,,,0.4449358228453445,7,96,97,96,94,90,83,48,92,99,94,92,85,87,90,97,84,87,98,19,84,94,75,96
